Name,Age,Gender,Math,Physics,CS,Passed
Steve,21,F,42,97,80,Yes
Mia,24,M,96,84,73,Yes
Frank,21,M,64,71,49,Yes
Alice,24,M,90,83,65,Yes
Ivy,18,M,98,66,71,Yes
Noah,22,F,66,52,77,Yes
Liam,20,M,54,86,77,Yes
Grace,21,F,80,96,42,Yes
Uma,19,F,90,33,36,No
Mia,25,F,34,68,45,No
Olivia,24,M,87,35,54,No
Bob,25,F,74,92,47,Yes
Noah,20,F,85,61,36,Yes
Uma,19,F,58,72,45,No
Diana,21,F,79,49,73,Yes
Grace,24,F,69,35,75,No
Frank,19,F,90,47,41,No
Grace,24,M,31,39,46,No
Quinn,25,F,62,31,91,Yes
Diana,24,M,46,36,49,No
Paul,23,M,80,57,78,Yes
Eva,19,F,88,97,99,Yes
Liam,24,F,80,84,49,Yes
Charlie,25,F,35,48,39,No
Diana,22,F,89,46,99,Yes
Bob,23,M,99,53,56,Yes
Bob,23,F,92,71,45,Yes
Uma,20,M,41,72,38,No
Steve,22,F,60,62,44,No
Bob,20,F,74,93,36,Yes
Olivia,19,M,89,39,98,Yes
Diana,19,F,35,86,86,Yes
Noah,19,F,93,75,60,Yes
Charlie,18,F,54,41,58,No
Eva,20,M,88,94,46,Yes
Jack,20,M,65,63,97,Yes
Liam,25,F,55,64,75,Yes
Bob,20,M,92,95,95,Yes
Paul,23,M,53,40,64,No
Tom,25,M,36,39,48,No
Liam,23,M,63,34,67,No
Eva,22,M,43,51,44,No
Charlie,20,F,52,40,42,No
Mia,22,F,93,100,89,Yes
Steve,20,M,31,35,43,No
Uma,25,F,45,66,63,No
Quinn,18,M,88,57,39,Yes
Mia,18,F,42,60,71,No
Quinn,19,F,36,76,37,No
Bob,23,F,96,42,81,Yes
Diana,21,F,39,64,35,No
Jack,18,F,59,35,67,No
Quinn,23,F,59,95,58,Yes
Eva,21,M,91,81,78,Yes
Tom,25,F,58,57,99,Yes
Ivy,22,M,70,78,98,Yes
Alice,19,M,74,39,56,No
Paul,22,F,88,45,33,No
Charlie,20,F,81,54,46,Yes
Olivia,20,M,84,51,47,Yes
Noah,19,F,100,86,57,Yes
Bob,23,M,39,39,68,No
Noah,25,M,37,62,43,No
Mia,25,M,40,42,83,No
Uma,25,F,56,49,60,No
Charlie,20,F,55,55,67,No
Jack,24,F,49,45,63,No
Quinn,19,F,82,44,58,Yes
Diana,20,F,73,53,58,Yes
Ivy,20,F,78,90,67,Yes
Tom,20,F,95,82,80,Yes
Liam,22,M,70,69,30,No
Steve,25,F,75,33,75,Yes
Grace,20,F,80,59,77,Yes
Grace,18,M,74,61,93,Yes
Quinn,18,M,86,97,34,Yes
Paul,22,F,90,43,85,Yes
Tom,22,F,71,91,79,Yes
Steve,20,F,56,30,54,No
Charlie,22,F,96,88,36,Yes
Uma,22,M,56,60,54,No
Noah,25,F,80,91,70,Yes
Mia,23,M,40,95,58,Yes
Noah,25,M,59,69,66,Yes
Diana,18,F,76,68,59,Yes
Steve,25,M,53,94,40,Yes
Uma,20,M,82,58,77,Yes
Tom,22,M,69,51,92,Yes
Jack,24,M,93,99,94,Yes
Alice,23,F,41,91,94,Yes
Diana,25,M,37,34,99,No
Ivy,20,F,76,45,83,Yes
Tom,25,M,96,91,47,Yes
Rachel,23,F,86,97,63,Yes
Noah,23,F,31,98,55,Yes
Liam,22,F,60,71,32,No
Grace,24,F,81,33,68,Yes
Tom,23,M,58,79,35,No
Rachel,18,F,32,85,37,No
Diana,20,F,93,42,87,Yes
Henry,18,F,83,37,57,No
Quinn,20,F,51,48,30,No
Mia,22,M,72,94,36,Yes
Frank,22,M,96,65,86,Yes
Henry,24,F,77,99,48,Yes
Jack,21,F,33,48,89,No
Paul,24,F,52,44,55,No
Frank,19,M,100,82,35,Yes
Paul,23,M,88,44,76,Yes
Tom,23,M,78,100,77,Yes
Uma,21,F,76,64,38,No
Charlie,22,F,51,66,79,Yes
Bob,21,M,31,36,46,No
Grace,25,F,39,92,88,Yes
Grace,20,M,57,47,83,Yes
Tom,18,F,87,67,100,Yes
Bob,18,M,68,57,43,No
Eva,20,F,32,73,76,Yes
Tom,18,F,49,69,88,Yes
Alice,21,F,66,94,79,Yes
Noah,20,F,31,38,30,No
Ivy,23,M,56,89,62,Yes
Mia,19,F,36,61,54,No
Mia,20,M,75,45,70,Yes
Jack,21,F,71,86,92,Yes
Rachel,25,M,64,95,86,Yes
Eva,19,F,52,53,99,Yes
Eva,19,M,98,74,81,Yes
Diana,23,M,91,82,81,Yes
Mia,22,F,47,51,42,No
Henry,22,M,73,78,83,Yes
Olivia,19,M,37,73,43,No
Eva,23,F,86,89,43,Yes
Tom,20,M,64,91,97,Yes
Jack,22,M,38,40,98,No
Noah,21,F,60,35,63,No
Quinn,19,F,38,60,66,No
Paul,25,M,39,94,47,Yes
Grace,24,M,69,75,88,Yes
Noah,19,F,66,92,86,Yes
Mia,25,F,85,86,46,Yes
Alice,23,M,98,53,82,Yes
Quinn,25,F,76,59,52,Yes
Eva,25,F,49,35,72,No
Ivy,18,M,31,52,33,No
Jack,23,M,32,75,80,Yes
Charlie,18,M,83,47,73,Yes
Charlie,18,M,78,75,58,Yes
Frank,25,M,61,70,45,No
Charlie,24,M,51,69,99,Yes
Rachel,21,F,50,68,66,Yes
Frank,20,M,58,63,31,No
Diana,20,F,57,32,65,No
Frank,22,F,92,93,60,Yes
Diana,25,M,94,67,43,Yes
Eva,25,F,99,79,91,Yes
Eva,23,M,58,63,83,Yes
Noah,20,M,82,50,48,Yes
Quinn,23,F,61,82,90,Yes
Uma,19,F,85,75,95,Yes
Liam,20,M,75,63,35,No
Noah,24,M,49,66,43,No
Grace,21,M,81,71,72,Yes
Tom,20,M,97,48,63,Yes
Quinn,21,F,87,98,58,Yes
Alice,18,M,94,37,52,Yes
Henry,23,M,67,86,82,Yes
Olivia,19,F,34,66,52,No
Diana,24,F,94,42,42,No
Alice,24,M,45,48,71,No
Henry,21,M,87,43,65,Yes
Uma,20,M,37,86,96,Yes
Henry,19,F,77,80,48,Yes
Charlie,19,F,78,33,62,No
Noah,24,F,80,45,42,No
Uma,19,F,72,82,83,Yes
Olivia,23,M,50,33,72,No
Henry,22,M,61,49,64,No
Jack,24,M,33,65,30,No
Quinn,23,F,78,68,100,Yes
Tom,19,M,31,52,78,No
Eva,23,M,93,78,84,Yes
Bob,20,M,86,72,85,Yes
Paul,23,M,70,32,37,No
Olivia,23,M,79,57,94,Yes
Henry,24,F,39,86,62,Yes
Liam,25,M,68,44,85,Yes
Eva,18,F,58,43,59,No
Ivy,24,F,93,95,49,Yes
Mia,22,M,81,39,92,Yes
Henry,19,M,59,61,83,Yes
Tom,24,F,89,94,77,Yes
Steve,20,M,91,50,59,Yes
Quinn,18,M,79,58,63,Yes
Uma,22,M,63,41,46,No
Eva,20,F,42,88,40,No
Henry,24,M,92,59,53,Yes
Quinn,22,F,36,71,47,No
Jack,18,F,76,56,94,Yes
Liam,19,F,78,34,67,No
Bob,19,M,34,86,94,Yes
Olivia,21,F,76,95,77,Yes
Noah,20,F,32,52,65,No
Alice,21,M,62,81,61,Yes
Jack,23,M,98,50,83,Yes
Ivy,19,M,93,69,93,Yes
Charlie,23,M,75,37,85,Yes
Eva,25,M,32,55,38,No
Olivia,25,M,55,47,42,No
Tom,21,F,52,77,72,Yes
Charlie,23,M,96,34,97,Yes
Jack,18,F,41,75,48,No
Tom,25,F,78,39,69,Yes
Rachel,21,M,69,72,77,Yes
Henry,21,F,82,72,63,Yes
Diana,23,F,76,71,100,Yes
Rachel,19,F,55,33,81,No
Paul,20,M,60,80,32,No
Frank,18,F,89,60,48,Yes
Mia,24,F,87,40,31,No
Rachel,21,F,97,79,73,Yes
Henry,18,F,86,40,94,Yes
Diana,21,F,92,98,63,Yes
Eva,20,F,49,81,92,Yes
Ivy,18,F,91,81,53,Yes
Ivy,22,M,88,83,98,Yes
Liam,25,M,56,82,87,Yes
Diana,23,F,59,53,44,No
Frank,22,F,99,62,32,Yes
Charlie,25,F,85,40,71,Yes
Steve,23,M,80,49,77,Yes
Frank,21,M,61,66,57,Yes
Paul,20,F,30,68,65,No
Steve,24,F,30,98,44,No
Bob,24,M,59,51,40,No
Tom,18,M,95,51,90,Yes
Diana,21,F,55,96,70,Yes
Jack,21,M,55,68,68,Yes
Uma,20,M,39,98,87,Yes
Tom,24,F,73,30,97,Yes
Diana,20,F,77,64,64,Yes
Mia,19,F,33,37,66,No
Olivia,24,M,52,57,76,Yes
Steve,20,F,49,80,71,Yes
Henry,19,M,78,89,84,Yes
Olivia,22,F,98,52,52,Yes
Steve,19,F,35,75,84,Yes
Mia,23,M,66,99,42,Yes
Eva,25,M,95,45,85,Yes
Charlie,23,M,96,91,85,Yes
Liam,24,M,39,47,72,No
Diana,23,F,71,45,58,No
Henry,23,M,56,40,67,No
Uma,23,M,60,94,80,Yes
Mia,21,M,58,81,71,Yes
Quinn,24,M,83,87,47,Yes
Noah,24,M,66,30,47,No
Ivy,21,M,62,30,34,No
Henry,24,M,51,61,64,No
Uma,19,F,97,81,93,Yes
Quinn,24,M,52,41,67,No
Paul,19,M,72,86,80,Yes
Bob,25,M,32,83,59,No
Jack,21,M,41,40,70,No
Bob,18,F,93,83,77,Yes
Olivia,24,F,31,36,33,No
Tom,23,F,82,92,93,Yes
Ivy,24,F,67,64,93,Yes
Olivia,19,F,98,45,80,Yes
Frank,20,M,40,38,34,No
Alice,19,M,87,34,39,No
Olivia,25,M,56,95,62,Yes
Quinn,18,M,74,75,90,Yes
Grace,24,M,67,45,92,Yes
Noah,19,M,43,41,44,No
Jack,18,M,55,31,65,No
Olivia,19,M,80,92,78,Yes
Ivy,19,M,67,31,58,No
Tom,19,M,82,93,30,Yes
Quinn,20,F,49,91,91,Yes
Quinn,21,M,85,36,71,Yes
Olivia,21,F,48,95,30,No
Steve,23,F,50,53,68,No
Olivia,18,F,65,40,91,Yes
Bob,21,M,92,62,76,Yes
Uma,24,M,42,67,97,Yes
Quinn,25,M,85,64,79,Yes
Ivy,21,M,97,50,66,Yes
Grace,22,F,48,87,65,Yes
Uma,25,F,93,80,97,Yes
Steve,23,F,84,30,92,Yes
Rachel,23,F,95,74,69,Yes
Alice,18,M,31,63,81,No
Grace,19,F,52,33,42,No
Steve,21,F,71,40,100,Yes
Paul,18,F,33,77,76,Yes
Jack,23,F,54,77,74,Yes
Diana,20,M,63,68,82,Yes
Alice,18,M,49,37,52,No
Eva,19,M,72,53,32,No
Noah,22,M,62,100,66,Yes
Paul,22,F,69,98,46,Yes
Steve,21,M,94,71,91,Yes
Olivia,25,M,44,48,86,No
Rachel,18,M,100,34,85,Yes
Bob,20,M,53,83,81,Yes
Alice,18,F,30,58,100,Yes
Tom,22,M,45,87,55,Yes
Rachel,18,M,37,98,33,No
Steve,23,F,80,39,45,No
Paul,18,F,39,46,41,No
Quinn,21,M,87,81,67,Yes
Diana,19,M,91,95,52,Yes
Rachel,18,M,90,39,61,Yes
Eva,21,F,80,84,83,Yes
Paul,19,F,56,58,73,Yes
Quinn,23,M,89,47,36,No
Olivia,20,M,80,66,66,Yes
Noah,22,F,33,70,55,No
Bob,23,F,77,73,57,Yes
Paul,19,F,47,47,74,No
Ivy,20,M,86,100,56,Yes
Jack,18,M,59,30,38,No
Grace,18,M,36,41,58,No
Charlie,22,F,35,47,80,No
Steve,23,F,75,69,31,No
Frank,18,M,78,68,58,Yes
Jack,23,F,75,60,72,Yes
Eva,23,F,39,67,61,No
Henry,20,M,84,35,35,No
Mia,24,M,64,41,71,No
Frank,25,F,37,83,51,No
Olivia,23,M,55,72,84,Yes
Uma,23,F,78,74,61,Yes
Ivy,19,M,74,96,100,Yes
Liam,19,F,59,88,53,Yes
Rachel,22,F,85,31,89,Yes
Olivia,21,F,47,95,53,Yes
Alice,20,F,44,76,41,No
Ivy,25,M,30,61,63,No
Ivy,25,M,38,77,92,Yes
Liam,18,F,99,98,47,Yes
Mia,20,F,87,51,92,Yes
Alice,22,M,47,52,48,No
Bob,24,M,78,73,52,Yes
Mia,18,M,72,95,83,Yes
Ivy,23,M,73,68,71,Yes
Uma,23,M,78,42,89,Yes
Liam,24,F,55,66,42,No
Tom,22,M,38,93,99,Yes
Eva,21,F,56,32,84,No
Diana,20,M,50,30,33,No
Bob,21,M,84,33,73,Yes
Paul,21,F,86,97,97,Yes
Frank,21,M,96,55,49,Yes
Henry,22,M,70,70,50,Yes
Quinn,18,M,94,98,87,Yes
Tom,19,M,42,53,66,No
Steve,25,M,51,98,33,Yes
Mia,18,F,48,92,39,No
Alice,19,F,32,94,82,Yes
Jack,23,F,81,94,82,Yes
Bob,21,F,63,70,62,Yes
Jack,21,M,57,71,37,No
Henry,20,F,84,98,72,Yes
Tom,21,F,68,63,47,No
Paul,22,F,84,32,34,No
Mia,24,F,47,85,62,Yes
Jack,22,F,60,33,86,No
Alice,25,F,69,77,64,Yes
Alice,21,F,80,79,71,Yes
Rachel,24,M,33,67,51,No
Steve,19,M,64,87,94,Yes
Quinn,22,F,64,30,49,No
Henry,23,M,41,37,39,No
Frank,25,F,90,96,43,Yes
Bob,18,F,73,69,86,Yes
Diana,23,M,72,71,47,Yes
Mia,23,F,34,63,63,No
Mia,23,M,40,96,37,No
Tom,21,M,46,78,98,Yes
Liam,24,F,43,96,64,Yes
Steve,23,F,85,72,39,Yes
Olivia,24,M,30,89,74,Yes
Uma,23,M,31,76,42,No
Ivy,25,M,61,53,68,Yes
Bob,18,M,54,58,79,Yes
Quinn,19,F,35,63,76,No
Frank,22,F,92,39,75,Yes
Diana,19,M,94,60,80,Yes
Mia,19,F,75,63,91,Yes
Eva,20,M,62,43,61,No
Steve,22,F,68,87,75,Yes
Bob,19,F,53,48,70,No
Frank,22,M,62,78,91,Yes
Frank,24,F,56,61,95,Yes
Steve,24,M,80,49,86,Yes
Eva,20,M,66,37,81,Yes
Diana,18,F,70,59,32,No
Eva,19,M,75,93,82,Yes
Noah,21,M,42,48,72,No
Olivia,20,F,62,86,97,Yes
Alice,23,M,94,70,36,Yes
Jack,20,F,53,84,89,Yes
Charlie,24,M,59,80,79,Yes
Noah,25,F,86,66,57,Yes
Bob,25,M,63,50,76,Yes
Noah,24,F,61,57,71,Yes
Paul,23,M,88,89,64,Yes
Rachel,20,F,87,78,43,Yes
Diana,21,F,65,35,54,No
Tom,18,F,98,69,87,Yes
Quinn,24,M,91,67,95,Yes
Liam,20,F,73,50,83,Yes
Charlie,19,F,34,36,74,No
Olivia,23,F,52,94,86,Yes
Diana,20,M,62,51,33,No
Paul,22,M,30,82,70,Yes
Grace,18,F,85,81,61,Yes
Bob,22,M,92,42,78,Yes
Charlie,23,F,51,40,86,No
Quinn,21,F,51,36,98,Yes
Rachel,20,M,83,50,36,No
Diana,18,F,96,75,44,Yes
Noah,20,M,67,55,69,Yes
Mia,25,F,63,55,97,Yes
Bob,25,M,98,44,73,Yes
Alice,21,F,90,69,96,Yes
Frank,24,F,31,61,51,No
Rachel,22,F,34,42,61,No
Eva,18,F,72,41,49,No
Olivia,20,M,46,52,33,No
Steve,19,M,47,87,53,Yes
Jack,18,F,66,73,41,Yes
Frank,24,F,64,79,61,Yes
Liam,18,F,53,57,43,No
Quinn,18,M,84,70,56,Yes
Quinn,19,M,59,41,45,No
Jack,19,M,63,87,87,Yes
Henry,24,F,57,61,43,No
Grace,22,M,88,36,84,Yes
Eva,23,F,86,97,88,Yes
Tom,23,F,64,45,54,No
Olivia,21,M,37,69,40,No
Olivia,25,F,80,50,52,Yes
Bob,24,F,71,62,84,Yes
Quinn,18,M,35,100,50,Yes
Paul,20,F,71,84,57,Yes
Ivy,24,M,87,80,60,Yes
Steve,18,M,70,48,49,No
Tom,22,F,82,87,98,Yes
Tom,25,M,84,86,51,Yes
Diana,20,M,88,49,71,Yes
Steve,21,M,69,34,64,No
Alice,21,F,33,65,46,No
Alice,24,M,57,67,53,No
Diana,25,M,64,82,84,Yes
Eva,25,M,66,74,38,No
Jack,21,M,32,55,84,No
Frank,22,M,85,78,77,Yes
Diana,23,F,61,79,55,Yes
Alice,24,M,83,56,35,No
Frank,18,F,76,85,33,Yes
Mia,19,M,83,44,81,Yes
Henry,22,F,40,52,100,Yes
Olivia,20,M,63,85,30,No
Olivia,18,M,55,40,52,No
Mia,18,M,94,61,61,Yes
Diana,24,F,87,76,85,Yes
Noah,18,F,42,40,53,No
Diana,23,F,97,47,64,Yes
Tom,24,M,67,85,99,Yes
Tom,25,F,42,64,36,No
Frank,23,M,94,100,48,Yes
Alice,25,M,94,64,95,Yes
Mia,18,F,46,84,43,No
Charlie,19,F,52,85,94,Yes
Uma,25,M,50,48,97,Yes
Charlie,19,F,33,49,79,No
Frank,20,M,97,57,40,Yes
Steve,19,M,47,42,93,Yes
Alice,18,F,47,34,74,No
Tom,24,M,89,59,58,Yes
Uma,21,F,97,36,73,Yes
Frank,24,F,43,52,50,No
Charlie,25,M,51,35,58,No
Uma,18,F,87,77,71,Yes
Quinn,19,M,36,39,63,No
Charlie,20,M,87,74,31,Yes
Grace,22,M,92,44,39,No
Quinn,20,M,96,91,58,Yes
Jack,23,M,43,96,56,Yes
Paul,23,F,32,51,93,No
Frank,23,F,61,61,55,No
Tom,19,M,52,99,31,Yes
Tom,23,F,44,87,73,Yes
Rachel,24,F,55,56,33,No
Grace,25,M,31,40,41,No
Ivy,19,F,64,37,94,Yes
Uma,21,M,49,78,40,No
Liam,22,F,50,78,86,Yes
Grace,20,F,77,71,91,Yes
Paul,23,M,90,62,98,Yes
Bob,18,M,44,82,65,Yes
Jack,22,F,39,93,81,Yes
Jack,24,M,92,61,77,Yes
Ivy,22,F,84,53,67,Yes
Grace,18,M,61,66,94,Yes
Henry,19,F,73,88,86,Yes
Grace,22,M,70,67,96,Yes
Jack,19,F,63,82,74,Yes
Frank,19,F,82,30,70,Yes
Olivia,25,F,32,52,86,No
Eva,19,F,62,42,94,Yes
Jack,22,F,97,97,44,Yes
Noah,24,F,70,80,61,Yes
Paul,24,M,83,91,50,Yes
Tom,23,F,87,46,45,No
Grace,24,F,61,74,30,No
Mia,21,M,60,58,74,Yes
Mia,19,M,77,52,52,Yes
Frank,23,F,40,33,56,No
Bob,22,M,38,54,57,No
Olivia,23,F,79,67,46,Yes
Tom,18,F,74,56,30,No
Uma,23,M,98,44,70,Yes
Eva,18,M,52,31,60,No
Diana,18,M,66,54,77,Yes
Charlie,21,F,51,42,100,Yes
Bob,19,M,38,69,94,Yes
Mia,20,F,54,97,46,Yes
Frank,23,M,64,60,60,Yes
Bob,18,M,41,70,87,Yes
Mia,21,F,93,34,62,Yes
Diana,23,M,41,52,44,No
Charlie,21,M,86,66,82,Yes
Liam,21,M,94,31,49,No
Mia,18,F,80,78,81,Yes
Jack,22,M,61,34,38,No
Charlie,24,F,42,81,51,No
Quinn,23,M,47,35,66,No
Olivia,20,M,41,91,95,Yes
Frank,24,M,86,64,89,Yes
Alice,20,M,78,65,62,Yes
Noah,25,F,30,56,61,No
Ivy,18,F,32,75,49,No
Alice,19,M,43,75,70,Yes
Uma,24,M,34,33,60,No
Uma,23,M,59,89,75,Yes
Tom,23,M,73,80,55,Yes
Mia,23,F,33,40,90,No
Liam,24,F,34,47,69,No
Charlie,21,M,93,94,42,Yes
Bob,22,M,38,83,73,Yes
Tom,23,M,82,65,92,Yes
Mia,23,M,98,40,89,Yes
Henry,19,F,74,99,49,Yes
Diana,20,M,85,90,75,Yes
Tom,21,M,84,88,95,Yes
Jack,23,F,64,97,96,Yes
Henry,19,F,49,46,91,Yes
Alice,18,F,91,85,96,Yes
Paul,23,M,93,36,93,Yes
Frank,23,M,63,90,64,Yes
Charlie,25,F,74,72,46,Yes
Grace,25,F,41,99,31,No
Olivia,19,M,81,62,42,Yes
Jack,19,F,33,46,93,No
Olivia,18,F,69,38,96,Yes
Liam,21,F,73,79,86,Yes
Ivy,20,M,38,68,93,Yes
Quinn,23,M,41,32,35,No
Eva,20,M,80,41,95,Yes
Olivia,25,M,97,90,88,Yes
Henry,23,F,49,71,99,Yes
Liam,18,M,49,40,66,No
Ivy,23,F,44,58,66,No
Charlie,21,M,67,85,59,Yes
Paul,21,F,50,61,67,No
Ivy,21,M,79,35,66,Yes
Noah,21,F,64,35,100,Yes
Mia,22,F,51,67,51,No
Uma,23,F,43,61,98,Yes
Steve,22,M,89,31,79,Yes
Bob,24,M,35,69,76,Yes
Charlie,25,F,76,83,81,Yes
Olivia,24,M,100,69,36,Yes
Grace,25,F,32,64,67,No
Charlie,20,M,53,60,54,No
Mia,22,F,61,95,100,Yes
Paul,24,F,60,98,60,Yes
Alice,21,M,71,66,36,No
Olivia,18,F,89,41,46,No
Diana,25,M,36,83,80,Yes
Paul,25,F,40,100,45,Yes
Mia,19,M,40,40,89,No
Bob,18,M,47,94,54,Yes
Tom,21,F,38,76,40,No
Frank,21,F,35,55,31,No
Alice,24,F,79,67,50,Yes
Ivy,20,F,63,74,49,Yes
Alice,21,F,88,74,93,Yes
Bob,22,F,59,40,74,No
Paul,25,F,70,78,61,Yes
Quinn,19,M,95,96,45,Yes
Ivy,22,F,67,60,58,Yes
Bob,22,F,37,55,70,No
Jack,20,F,49,76,60,Yes
Grace,25,F,40,40,46,No
Grace,23,M,90,56,47,Yes
Steve,20,M,75,63,39,No
Steve,20,M,44,94,69,Yes
Grace,19,F,79,56,89,Yes
Frank,21,F,62,62,52,No
Frank,20,F,77,77,37,Yes
Jack,18,M,53,34,60,No
Paul,22,F,58,85,87,Yes
Olivia,25,F,33,34,93,No
Steve,21,M,84,34,65,Yes
Paul,20,M,75,87,60,Yes
Quinn,25,M,59,57,61,No
Noah,19,F,71,55,31,No
Diana,24,M,49,52,75,No
Paul,18,F,63,41,69,No
Steve,25,M,33,39,94,No
Mia,24,M,69,71,52,Yes
Eva,19,M,39,45,65,No
Charlie,19,M,46,62,78,Yes
Mia,21,F,38,74,38,No
Quinn,18,F,45,74,74,Yes
Jack,20,M,47,79,70,Yes
Olivia,24,M,93,57,94,Yes
Henry,25,F,39,51,43,No
Liam,20,M,36,89,91,Yes
Diana,21,M,77,75,57,Yes
Diana,18,F,49,49,78,No
Paul,23,M,49,80,37,No
Ivy,21,M,80,79,78,Yes
Noah,24,F,86,34,49,No
Frank,19,M,100,72,91,Yes
Jack,24,F,32,86,100,Yes
Quinn,21,M,70,42,38,No
Grace,21,F,57,42,70,No
Bob,21,F,31,78,95,Yes
Jack,23,F,31,33,93,No
Bob,20,F,90,78,36,Yes
Jack,19,F,100,76,41,Yes
Uma,18,M,68,63,38,No
Steve,25,M,76,55,60,Yes
Paul,24,M,36,84,75,Yes
Charlie,24,M,73,63,57,Yes
Olivia,23,F,95,77,40,Yes
Grace,21,F,65,37,39,No
Bob,21,F,43,34,76,No
Bob,20,F,90,89,33,Yes
Henry,19,F,98,73,60,Yes
Jack,19,M,60,36,64,No
Liam,25,F,66,83,77,Yes
Henry,21,F,65,88,83,Yes
Paul,18,F,30,84,61,No
Rachel,23,M,73,34,74,Yes
Steve,21,F,74,90,85,Yes
Henry,19,F,93,65,93,Yes
Olivia,25,M,78,52,30,No
Charlie,24,M,95,52,37,Yes
Diana,18,F,68,56,97,Yes
Uma,20,F,78,87,90,Yes
Mia,23,F,71,95,48,Yes
Henry,22,M,41,51,35,No
Liam,25,F,50,91,76,Yes
Tom,22,M,34,78,32,No
Paul,22,F,60,82,49,Yes
Paul,21,M,49,74,64,Yes
Noah,20,F,91,58,40,Yes
Charlie,19,F,61,45,34,No
Alice,25,F,92,37,61,Yes
Liam,25,M,63,49,34,No
Noah,25,M,67,85,81,Yes
Steve,19,M,80,72,88,Yes
Noah,22,F,72,89,51,Yes
Mia,20,M,53,98,94,Yes
Alice,19,F,50,49,38,No
Olivia,18,M,75,78,44,Yes
Eva,21,F,57,88,53,Yes
Uma,24,M,71,35,38,No
Tom,19,F,100,91,30,Yes
Ivy,22,M,43,35,56,No
Ivy,18,F,85,58,37,Yes
Liam,22,M,63,58,65,Yes
Mia,23,F,39,35,44,No
Alice,23,F,34,56,98,Yes
Liam,18,F,38,34,65,No
Uma,24,M,97,55,93,Yes
Mia,23,M,71,92,87,Yes
Ivy,23,F,90,69,68,Yes
Grace,19,M,93,30,89,Yes
Grace,22,M,86,73,88,Yes
Liam,22,F,63,51,91,Yes
Frank,25,M,78,81,60,Yes
Henry,25,F,82,85,35,Yes
Eva,21,M,47,76,54,No
Mia,23,M,71,31,36,No
Paul,24,F,87,58,65,Yes
Diana,21,F,48,54,66,No
Bob,18,M,60,80,67,Yes
Bob,20,F,94,72,61,Yes
Diana,18,F,63,52,62,No
Alice,20,F,67,48,71,Yes
Frank,20,M,61,99,74,Yes
Ivy,18,M,97,75,40,Yes
Noah,25,M,40,83,34,No
Alice,18,M,83,51,92,Yes
Bob,21,M,62,62,68,Yes
Rachel,22,F,63,69,56,Yes
Olivia,18,F,73,34,47,No
Eva,25,M,96,79,35,Yes
Diana,20,M,81,31,86,Yes
Jack,24,F,100,83,87,Yes
Tom,22,F,59,36,96,Yes
Ivy,21,F,39,84,65,Yes
Uma,18,M,46,94,58,Yes
Frank,23,M,94,79,38,Yes
Eva,19,F,100,76,61,Yes
Mia,21,F,74,60,84,Yes
Frank,23,F,93,75,32,Yes
Liam,20,F,36,88,72,Yes
Bob,25,M,42,50,86,No
Alice,19,F,56,87,97,Yes
Frank,20,F,76,88,93,Yes
Liam,23,F,42,86,42,No
Ivy,18,M,98,97,96,Yes
Eva,20,F,70,40,56,No
Steve,21,M,59,56,72,Yes
Eva,25,F,48,77,79,Yes
Frank,18,M,57,58,71,Yes
Quinn,25,F,77,62,53,Yes
Charlie,25,F,64,86,83,Yes
Rachel,23,M,65,91,89,Yes
Ivy,21,M,71,65,73,Yes
Paul,25,M,42,40,96,No
Ivy,25,M,63,56,32,No
Mia,21,M,34,60,42,No
Olivia,25,M,32,66,76,No
Uma,23,F,59,33,65,No
Steve,21,F,87,71,91,Yes
Frank,22,M,52,49,58,No
Eva,20,M,65,95,51,Yes
Henry,21,M,41,67,60,No
Paul,24,M,58,30,85,No
Grace,21,M,91,71,62,Yes
Grace,24,F,80,30,31,No
Steve,21,F,89,34,41,No
Mia,18,F,65,66,32,No
Mia,22,M,45,44,90,No
Diana,24,F,63,100,40,Yes
Steve,20,M,98,87,33,Yes
Henry,23,F,40,64,54,No
Quinn,18,M,39,68,59,No
Charlie,22,F,76,38,52,No
Liam,18,M,92,60,89,Yes
Uma,18,M,62,45,100,Yes
Uma,24,M,87,88,82,Yes
Henry,18,F,66,55,86,Yes
Noah,18,M,43,30,67,No
Steve,23,F,78,90,53,Yes
Steve,23,F,49,40,80,No
Liam,21,M,54,86,94,Yes
Charlie,23,F,71,93,76,Yes
Uma,19,M,99,92,94,Yes
Charlie,21,M,60,69,56,Yes
Uma,19,F,73,42,48,No
Rachel,21,F,59,36,98,Yes
Liam,18,M,72,61,90,Yes
Rachel,25,F,57,46,93,Yes
Ivy,24,F,55,82,96,Yes
Eva,23,M,80,70,92,Yes
Alice,19,F,89,89,33,Yes
Frank,21,F,85,41,84,Yes
Jack,23,F,92,69,91,Yes
Rachel,22,M,44,99,50,Yes
Grace,20,F,53,89,71,Yes
Rachel,22,F,68,92,82,Yes
Liam,19,M,86,63,54,Yes
Henry,19,M,93,100,49,Yes
Paul,25,F,32,79,97,Yes
Ivy,18,F,49,53,32,No
Henry,22,M,40,32,57,No
Bob,20,F,96,100,34,Yes
Paul,24,F,58,32,72,No
Olivia,24,F,43,99,71,Yes
Rachel,20,M,53,64,53,No
Uma,25,F,50,75,38,No
Charlie,18,M,92,31,37,No
Quinn,23,M,83,98,35,Yes
Ivy,18,M,62,33,49,No
Liam,19,F,74,72,66,Yes
Uma,23,F,57,91,77,Yes
